,Time,Topic,Tweet,TrueSentiment,PredictedSentiment,NumericalPredictedSentiment,roundedHourTime
48,10/19/2011 2:40,google,Are these guests on Samsung and Google event mostly Chinese? Wow! They're boring. #Google #Samsung,neutral,positive,1,10/19/2011 2:00
49,10/20/2011 4:14,twitter,Acaso #twitter muestra la mayor parte de lo que pensamos???,neutral,neutral,0,10/20/2011 4:00
50,10/20/2011 3:21,twitter,#2000tweets !!!! #milestone #twitter,neutral,neutral,0,10/20/2011 3:00
51,10/20/2011 3:27,twitter,Alguien ha escuchado hablar de #blaving ? Es parecido al #twitter pero con voz ;),neutral,neutral,0,10/20/2011 3:00
52,10/20/2011 4:45,twitter,"@AleCP93 Hey broo graxiias por recordarme qe existe #Twitter jajajaja!!!
Teniia siglos de no usarlo jajaja!!! :)",neutral,neutral,0,10/20/2011 4:00
53,10/19/2011 23:32,microsoft,"RT @NeowinFeed: Microsoft opens the spigot, Windows Phone Mango available to all #microsoft #windowsphone http://t.co/nwMbseVm #neowin",neutral,neutral,0,10/19/2011 23:00
54,10/20/2011 4:00,twitter,Nadie es tan lind@ como en la foto del #twitter y tampoco tan feo como en la foto de la cedula...,neutral,neutral,0,10/20/2011 4:00
55,10/19/2011 2:59,google,#google #icecreamsandwich event featured #minecraft,neutral,neutral,0,10/19/2011 2:00
56,10/20/2011 4:43,twitter,RT @smart__reMarks RT @Its_kcheese: some stuff you only find on #TWITTER lolz &lt;---- LMAO,neutral,neutral,0,10/20/2011 4:00
57,10/20/2011 3:47,twitter,"Bueno,buenas noche.#twitter",neutral,neutral,0,10/20/2011 3:00
58,10/19/2011 2:48,google,"1080p video recording, continuous focus, zoom while recording and time lapse included in Android 4.0. #Google #Android #ICS",neutral,neutral,0,10/19/2011 2:00
59,10/20/2011 4:17,twitter,@Yerson_Aponte Que conste quedo en el #Twitter !! xD,neutral,neutral,0,10/20/2011 4:00
60,10/19/2011 20:29,microsoft,#linux / #ubuntu - #Windows / #microsoft » http://t.co/TteunwMj !!Que gran diferencia!! -/,neutral,neutral,0,10/19/2011 20:00
61,10/19/2011 4:20,google,#Android #Google First Official Galaxy Nexus / Ice Cream Sandwich Promo Video With Feature Highlights... http://t.co/LtrC34VG #DhilipSiva,neutral,neutral,0,10/19/2011 4:00
62,10/19/2011 12:08,microsoft,Open Virtualization Format adopted by #VMware #Microsoft and #Citrix. How come no mention for open source leader #RedHat? #vmworld #SEC1802,neutral,neutral,0,10/19/2011 12:00
63,10/17/2011 21:56,apple,"Where is my iPhone!?!?!?!
@apple",negative,neutral,0,10/17/2011 21:00
64,10/15/2011 17:49,apple,"RT @TheMacMob: Sprint, Verizon & AT&T @Apple Stores http://t.co/ZOzR0UUz",neutral,neutral,0,10/15/2011 17:00
65,10/19/2011 5:21,google,Поиск от #Google станет еще безопаснее http://t.co/Hmo2qDKO,neutral,neutral,0,10/19/2011 5:00
66,10/17/2011 6:23,apple,My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!,negative,neutral,0,10/17/2011 6:00
67,10/20/2011 3:55,twitter,RT @icurioso: La famosa frase “ME LO DIJO UN PAJARITO” ya tiene sentido gracias a #Twitter!,neutral,neutral,0,10/20/2011 3:00
68,10/19/2011 21:35,microsoft,#Microsoft To Launch Its Own Version Of #Facebook Timeline Like Web Service Called Project #Greenwich  http://t.co/MmS14pDW,neutral,neutral,0,10/19/2011 21:00
69,10/19/2011 11:18,microsoft,Mooie mogelijkheden met #Microsoft Surface. Volgende stap: concept naar consument? http://t.co/qnqj5Ho0,neutral,neutral,0,10/19/2011 11:00
70,10/20/2011 3:29,twitter,tenho que ir dormir mais o #twitter naum deixa :S,neutral,neutral,0,10/20/2011 3:00
71,10/15/2011 18:56,apple,@samsung and @apple never rest as they battle in court yet again over tablets.(not the pills),neutral,neutral,0,10/15/2011 18:00
72,10/19/2011 4:51,google,RT @bleublancrouge_: Surprising !Google's Management Isn't Using #Google+ : http://ow.ly/6QuOk @degusta,neutral,neutral,0,10/19/2011 4:00
73,10/19/2011 20:24,microsoft,"RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/NkhuoM7U #SQLServer #SQL2012 #SQLAzure",neutral,neutral,0,10/19/2011 20:00
74,10/18/2011 16:19,apple,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",negative,neutral,0,10/18/2011 16:00
75,10/19/2011 22:24,microsoft,Equipo altamente #certificado por #Cisco y #Microsoft,neutral,neutral,0,10/19/2011 22:00
76,10/16/2011 1:14,apple,"RT @stalkertard: hey @apple, how about if IPhone4S = ""IPhone 4 Steve"" and you donate a small portion of the proceeds towards cancer rese ...",neutral,neutral,0,10/16/2011 1:00
77,10/15/2011 21:48,apple,In honor of Steve Jobs. @apple #RIPSteve http://t.co/NyjhkNoU,neutral,neutral,0,10/15/2011 21:00
78,10/19/2011 21:13,microsoft,Zou #microsoft vrij van rancune zijn? Hier de reactie op de populaire Androidtel. http://t.co/TeTN3ULl,neutral,neutral,0,10/19/2011 21:00
79,10/18/2011 17:40,apple,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO,negative,neutral,0,10/18/2011 17:00
80,10/19/2011 2:43,microsoft,"228MB for what is basically a glorified chat client.  Oh, Microsoft.  #lync #microsoft http://t.co/oktrAysu",neutral,neutral,0,10/19/2011 2:00
81,10/19/2011 14:28,microsoft,Take time to sign this and also please pass it on. Thank You : http://t.co/euW1RSnb R.I.P Jeremey Latiola. #steve jobs #microsoft,neutral,neutral,0,10/19/2011 14:00
82,10/19/2011 5:45,google,"#google Actualité Google Panda: Arrivé pendant l'été 2011 en France, Google Panda a été conçu afin ... http://t.co/N5hSOroi #googlepanda",neutral,neutral,0,10/19/2011 5:00
83,10/19/2011 16:05,microsoft,Steve Ballmer slams Android #microsoft #steveballmer http://t.co/iYTWIZzv #microsoft,neutral,neutral,0,10/19/2011 16:00
84,10/17/2011 10:53,apple,Does the iPhone4S no longer have that stupid 'network lost' pop up - possibly the most annoying thing ever that you cannot turn off @apple ?,neutral,neutral,0,10/17/2011 10:00
85,10/20/2011 4:04,twitter,#Twitter Buzz Builds for the Occupy Wall Street Movement [CHARTS] http://t.co/mTdvRoIj,neutral,neutral,0,10/20/2011 4:00
86,10/17/2011 19:19,apple,"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",negative,negative,-1,10/17/2011 19:00
87,10/16/2011 2:58,apple,"Dear @Apple, I don't want the newsstand icon on my screen. #notcool",negative,neutral,0,10/16/2011 2:00
88,10/20/2011 4:16,twitter,YAAAAAAAAY @Freakbull_ made my Tallman #Twitter standing 6'4 BaYbeeeee,neutral,neutral,0,10/20/2011 4:00
89,10/19/2011 14:12,microsoft,You are welcome to join our LIVE free webinar right now. It's about #Citrix monitoring through #Microsoft #SCOM: http://t.co/Sr7pIP9B,neutral,neutral,0,10/19/2011 14:00
90,10/20/2011 3:44,twitter,pensando seriamente em excluir meu #twitter,neutral,neutral,0,10/20/2011 3:00
91,10/19/2011 2:37,google,"Ouch, crash and burn. #Android facial recognition in #IceCreamSandwich didn't work during the presentation. http://t.co/6vsasZyT #Google",negative,neutral,0,10/19/2011 2:00
92,10/17/2011 14:36,apple,"Bravo, @Apple! http://t.co/BgoTzj7K",positive,neutral,0,10/17/2011 14:00
93,10/19/2011 2:08,microsoft,Jus updated my computer to Windows 7 .....I'm on thanks to #microsoft,positive,neutral,0,10/19/2011 2:00
94,10/20/2011 3:23,twitter,RT @JennyOrWuuut: I wishh #twitter would tell me who retweets my stuff.,neutral,neutral,0,10/20/2011 3:00
95,10/19/2011 19:29,microsoft,Watch new technology under development of #Microsoft http://t.co/fQlhyAat,neutral,neutral,0,10/19/2011 19:00
96,10/20/2011 3:46,twitter,"RT @sam1meta #Twitter: Rápido, contundente, y directo. 17 razones para usarlo http://t.co/itML0Lxq… @sam1meta #marketing #sm",neutral,neutral,0,10/20/2011 3:00
97,10/20/2011 4:24,twitter,Ya me esta empezando a Gustar #Twitter!!:DD,neutral,neutral,0,10/20/2011 4:00
98,10/19/2011 16:20,microsoft,"#SIGSource #Microsoft's Tami Reller says get on the bus and if you don't want to be on the bus, get off the road.",neutral,neutral,0,10/19/2011 16:00
99,10/19/2011 5:25,google,"#Samsung Galaxy Nexus #smartphone, Android 4.0 Ice Cream Sandwich unveiled by #Google… http://t.co/nds5B4ej #BT",neutral,neutral,0,10/19/2011 5:00
100,10/15/2011 18:25,apple,"So ""cutting the cord"" makes podcasts even harder to manage?!? No subscriptions! WTH, @Apple? http://t.co/LD2i871x #iOS5 (via @carrypad)",negative,neutral,0,10/15/2011 18:00
101,10/19/2011 4:10,google,"Para los que tenemos un #GalaxySII, no se preocupen... está 99% confirmado que tendremos #Android 4.0 en este GRANDIOSO terminal. #Google",neutral,neutral,0,10/19/2011 4:00
102,10/19/2011 2:56,google,"RT @g123k: Google a pas innové avec un tamagochi, ils ont tout compris #google #nexusprime",neutral,neutral,0,10/19/2011 2:00
103,10/19/2011 4:18,google,I want the new #google #galaxynexus. Android 4.0 is going to be the fucks,positive,neutral,0,10/19/2011 4:00
104,10/19/2011 12:14,microsoft,"RT @WindowsFrance: Avec OmniTouch, faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch",neutral,neutral,0,10/19/2011 12:00
105,10/18/2011 11:25,apple,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #,negative,positive,1,10/18/2011 11:00
106,10/20/2011 4:24,twitter,"@LuceroMexico  Ja lu! chiste! en qe se parese papa pitufo al #twitter???
en qe los 2 tienen el pajarito Azul ..!  jaja",neutral,neutral,0,10/20/2011 4:00
107,10/19/2011 3:51,google,Yeni Galaxy Nexus - http://t.co/QZcbA4Bx #google #galaxynexus,neutral,neutral,0,10/19/2011 3:00
108,10/19/2011 13:41,microsoft,#Job #ICT Verkaufspezialist von Infrastrukturlösungen an Geschäftskunden (w/m): Microsoft Schweiz... http://t.co/admV6cNg #Microsoft #IT,neutral,neutral,0,10/19/2011 13:00
109,10/19/2011 3:00,google,Raise your hand if you now want an #Android4 #IceCreamSandwich powered #GALAXYNexus phone! #Google #Samsung,positive,neutral,0,10/19/2011 3:00
110,10/19/2011 11:25,microsoft,"#Microsoft y el nuevo #Omnitouch, convierte cualquier superficie en pantalla tactil, http://t.co/TkgcW6y8",neutral,neutral,0,10/19/2011 11:00
111,10/18/2011 19:12,apple,@Motorola is the Best Android-powered company that is going against @Apple.,neutral,neutral,0,10/18/2011 19:00
112,10/17/2011 22:48,apple,"@FastCompany - The Great Tech War Of 2012: @Apple, @Facebook, @Google, and @Amazon duking it out - http://t.co/HXsAlzPv via @ADerricks",neutral,neutral,0,10/17/2011 22:00
113,10/16/2011 18:06,apple,@apple by far the best iPod and first time iPhone ever.... Good job guys,positive,neutral,0,10/16/2011 18:00
114,10/19/2011 18:33,microsoft,Apple + Microsoft...The Difference: How #Apple Eclipsed #Microsoft @PSFK: http://t.co/Rmi8oSMi #brand #brands #marketing #innovation,negative,neutral,0,10/19/2011 18:00
115,10/19/2011 4:29,google,#google #galaxy #nexus intro video #samsung #ICS #android #4 http://t.co/tOGMpP8I,neutral,neutral,0,10/19/2011 4:00
116,10/20/2011 4:32,twitter,"@bruna_rafaelah xau amanha eu to d volto com meu #Twitter
COM FE EM DEUS
#TwiTTerOff",neutral,neutral,0,10/20/2011 4:00
117,10/19/2011 6:32,microsoft,Windows Phone: Microsoft bestätigt Fehler nach Update: Abstürze beim Musikgenuss und eine verschwunde... http://t.co/hbK4Fxjk #microsoft,neutral,neutral,0,10/19/2011 6:00
118,10/19/2011 10:30,microsoft,#OmniTouch #Microsoft  http://t.co/qwk0YUrH via @youtube,neutral,neutral,0,10/19/2011 10:00
119,10/17/2011 20:08,apple,@Apple Safari Reader owns the worldwide web,positive,neutral,0,10/17/2011 20:00
120,10/17/2011 0:18,apple,hmm it seems i should have checked the identity of @apple first…,neutral,neutral,0,10/17/2011 0:00
121,10/18/2011 13:52,apple,RT @aplusk: Sending love & light to everyone @Apple & the entire Jobs family.Today we lost a Giant who will be missed even by those who  ...,neutral,neutral,0,10/18/2011 13:00
122,10/19/2011 20:00,microsoft,"#Microsoft Pre-order Call of Duty: Modern Warfare 3 and get $20 off Xbox Live 12M Card, $10 bounce back co.. http://t.co/3ov35Z3R",neutral,neutral,0,10/19/2011 20:00
123,10/19/2011 13:53,microsoft,#Tecnología #Bill_Gates testificará en el #juicio por #monopolio entre #Microsoft y #Novell http://t.co/o1WGjYTO ➨ @theINQ,neutral,neutral,0,10/19/2011 13:00
124,10/19/2011 14:33,microsoft,MindTree Introduces 'mPromo' Trade Promotion Solution on #Microsoft #Azure for the Consumer Packaged Goods industry. http://t.co/H1A3V7zv,neutral,neutral,0,10/19/2011 14:00
125,10/18/2011 5:51,apple,#iOS5 op iPad 2 geïnstalleerd. Tijdrovend en bepaald niet probleemloos. @Apple gaat meer en meer de #Windows kant op. ;-(,neutral,neutral,0,10/18/2011 5:00
126,10/19/2011 2:38,google,Ishi o #faceunlock do #icecreamsandwich #android não funcionou no seu lançamento #google,neutral,neutral,0,10/19/2011 2:00
127,10/20/2011 4:45,twitter,I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno,negative,neutral,0,10/20/2011 4:00
128,10/20/2011 4:51,twitter,#ThingsWeAllHate  false advertisement via #twitter lol,neutral,negative,-1,10/20/2011 4:00
129,10/19/2011 10:13,microsoft,thinking thinking thinking thinking #dotnet #asp #microsoft,neutral,neutral,0,10/19/2011 10:00
130,10/18/2011 20:25,apple,"@Apple Would much rather get outta this having a ( see pic ) and have fun with this "" Have your friends choose music"" http://t.co/7IiHbr4J",neutral,neutral,0,10/18/2011 20:00
131,10/19/2011 2:45,google,"[#Infographic] #Google+ cost half a billion to build, driving users to #1 most followed user: Mark Zuckerberg. http://t.co/CzMfvnLQ #irony",neutral,neutral,0,10/19/2011 2:00
132,10/19/2011 4:47,google,"Para todos los androides, he aquí la nueva bestia de #Google! El #GalaxyNexus http://t.co/oUTER1n4",neutral,neutral,0,10/19/2011 4:00
133,10/20/2011 4:43,twitter,@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter,neutral,neutral,0,10/20/2011 4:00
134,10/16/2011 3:44,apple,"dammit, listening to siri is making me want to upgrade. well played @apple.",positive,neutral,0,10/16/2011 3:00
135,10/18/2011 13:51,apple,@apple store NY,neutral,neutral,0,10/18/2011 13:00
136,10/19/2011 4:50,google,#Android #Google Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http://t.co/sh316tBN #DhilipSiva,neutral,neutral,0,10/19/2011 4:00
137,10/18/2011 3:17,apple,"""#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/r0WYm1jX #PampersHelloApps""",neutral,neutral,0,10/18/2011 3:00
138,10/19/2011 16:30,microsoft,"Join Brainware in ORLANDO 11/2-discuss financial best practices, automation tech w/speakers from #disney and #microsoft http://t.co/gLYzOXMc",neutral,neutral,0,10/19/2011 16:00
139,10/19/2011 19:55,microsoft,There is nothing like sitting in the workshop all day talking to #microsoft and having to talk to them again tomorrow + waiting for parts.,negative,neutral,0,10/19/2011 19:00
140,10/18/2011 20:30,apple,People are waiting in line @apple for phones at 1:30 on a Tuesday! Don't you people have Jobs(no pun intended?)???,neutral,neutral,0,10/18/2011 20:00
141,10/19/2011 3:37,google,"#google+ ...thoughts? to sign up or not to sign up, that is the question...",neutral,neutral,0,10/19/2011 3:00
142,10/19/2011 5:01,google,And here's the run-down on #Android4.0 aka #IceCreamSandwich http://t.co/f1V3HJAe #google,neutral,neutral,0,10/19/2011 5:00
143,10/19/2011 4:36,microsoft,"I wonder if I tweet Bill Gates he'll fix my laptop... 

#Microsoft
#vista
#fml",negative,negative,-1,10/19/2011 4:00
144,10/15/2011 15:00,apple,#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!,negative,negative,-1,10/15/2011 15:00
145,10/19/2011 3:55,google,"Codename or not, awesome or not, I have a hard time taking ANYTHING called 'Ice Cream Sandwich' seriously. #google #android #sticky #melts",negative,positive,1,10/19/2011 3:00
146,10/19/2011 8:15,microsoft,"Rumor: New screen sizes, specs coming to Windows Phones #windowsphone #microsoft: A rumor has surfaced that sugg... http://t.co/wHDrAQO4",neutral,neutral,0,10/19/2011 8:00
147,10/20/2011 3:28,twitter,#twitter sos un vicioooooo,neutral,neutral,0,10/20/2011 3:00
148,10/20/2011 4:28,twitter,Skype: geovannyacaro como en #twitter @geovannyacaro,neutral,neutral,0,10/20/2011 4:00
149,10/20/2011 4:40,twitter,RT @BigMelo216_TSA: On da phone wit @AllThisASS & she was HAPPY AF!!! she got out #Twitter JAIL! thirsty lol,neutral,positive,1,10/20/2011 4:00
150,10/19/2011 3:15,google,#Google Buzz to the junkyard along with four other services including Jaiku http://t.co/lm79ZlWA &gt; liked Jaiku,neutral,neutral,0,10/19/2011 3:00
151,10/19/2011 5:06,google,RT @twandroid: Pogo Pin sur le côté pour le connecter sur un dock #google #nexusprime,neutral,neutral,0,10/19/2011 5:00
152,10/20/2011 4:51,twitter,*singing*! everytime  I  try  to leave something keeps  pulling me  back  (me  back) telling me  I  need  #Twitter & all that. lol  (:,positive,neutral,0,10/20/2011 4:00
153,10/19/2011 3:07,google,The better question is if (and when) current devices will get the update.  #Android #Google #IceCreamSandwich,neutral,neutral,0,10/19/2011 3:00
154,10/16/2011 15:57,apple,"@pmphillips @apple If my non-Apple equipment broke this often, I guess I'd need an Asus genius bar. But it doesn't, so I don't :-)",negative,negative,-1,10/16/2011 15:00
155,10/19/2011 12:55,microsoft,#microsoft #edu UD School Board seats up for grabs - Delaware County Daily Times http://t.co/YCXCo5kK,neutral,neutral,0,10/19/2011 12:00
156,10/19/2011 15:52,microsoft,RT @juank3946: Nueva #Consola #Xbox en curso: #LinkedIn http://t.co/VUzmZEzv #Microsoft #Xbox360 #Xbox720 #Twitter via @ZthaeDigital,neutral,neutral,0,10/19/2011 15:00
157,10/19/2011 4:45,google,Android 4.0 SDK now available #google #android http://t.co/TBtuewi1,neutral,neutral,0,10/19/2011 4:00
158,10/19/2011 6:38,microsoft,Microsoft Security Essentialの定義ファイルがアップデートしました：1.115.68.0 &gt; http://t.co/lZde20Vy #Microsoft,neutral,neutral,0,10/19/2011 6:00
159,10/19/2011 10:58,microsoft,"#Job #ICT System Administrator Windows: GSI Consultants, Zug http://t.co/96Vi7GIu #Microsoft #IT",neutral,neutral,0,10/19/2011 10:00
160,10/19/2011 18:11,microsoft,#Microsoft researchers want to turn your hand into a #touchscreen http://t.co/WJAB0tMQ via @arstechnica,neutral,neutral,0,10/19/2011 18:00
161,10/16/2011 3:13,apple,I guess I should go @hublot @apple and @ZegnaOfficial shopping next week. Birthdays only come once a year! Lol,neutral,neutral,0,10/16/2011 3:00
162,10/20/2011 4:37,twitter,Ammazza... Anche su #twitter la gente dorme a quest'ora,neutral,neutral,0,10/20/2011 4:00
